StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q139,Q200_First Click,Q200_Last Click,Q200_Page Submit,Q200_Click Count,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,Q147,Q22,Q19,Q142,Q21,Q206,Q207,Q208,Q209,Q210,Q213,Q214,Q215,Q216,Q217,Q193,Q170,Q164,Q143,Q144,Q220,Q221,Q223,Q224,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q130,Q172,Q174,Q176,Q178,Q180,Q182,Q184,Q186,Q188,Q190,Q192,Q194,Q196,Q198,Q200,Q202,Q204,SC0,SC1,SC2,SC3,SC4,SC5,confirmation_code,treatment_group,Comprehension score1,Enter Embedded Data Field Name Here...,Comprehension score2,Comprehension score3,ins_code,no_ins_code,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3
2017-08-30 12:36:08,2017-08-30 13:25:52,IP Address,65.35.90.154,100,2984,True,2017-08-30 13:25:52,R_eDUBA0ktcNvGERv,,,,,27.947494506836,-81.920402526855,anonymous,,I consent to participate in this study,,,,,0,0,1086.149,0,True,$0.50,True,10,No,,,,,,,,,,,A5EU1AQJNC7F2,,26322,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery B: 40% chance of winning $3.85, 60% chance of winning $0.10","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,29,White or Caucasian,Not Hispanic or Latino,5,United States,FL Florida,33809,I've read or talked about cattle ranching at least once before,I am familiar with drought,1 (No Impact),Yes,"$30,000 to $44,999","High school diploma or equivalent ",,"I vote for Democrats more often than ",No,7,0,0,2,0,0,81555,no_ins,5,,,,,2262147,2,,
2017-08-30 12:20:26,2017-08-30 13:28:34,IP Address,198.24.30.133,100,4088,True,2017-08-30 13:28:35,R_eqtPEIVe7p4uLJ3,,,,,38.860504150391,-77.263000488281,anonymous,,I consent to participate in this study,,,,,7.636,562.573,1475.24,6,True,$0.50,True,10,No,,,,,,,,,,,A4J4GGMKJ68L0,,86588,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,25,Asian,Not Hispanic or Latino,5,United States,VA Virginia,22150,Nothing,Nothing,1 (No Impact),No,"$45,000 to $59,999",Bachelors degree,,Half the time I vote for Democrats and half the time I vote for Republicans,No,7,0,0,2,0,0,40463,no_ins,5,,,,,2678637,2,,
2017-08-30 12:16:31,2017-08-30 13:29:40,IP Address,24.167.148.208,100,4389,True,2017-08-30 13:29:40,R_8iX4jD1AskM8uMZ,,,,,36.071395874023,-79.76789855957,anonymous,,I consent to participate in this study,212.194,1121.364,1154.345,2,,,,,True,$0.50,True,5,No,True,$0.50,True,10,No,,,,,,A3LJ2FHESYV9QQ,67173,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Female,39,White or Caucasian,Not Hispanic or Latino,5,United States,NC North Carolina,27406,Nothing,Nothing,1 (No Impact),Yes,"$30,000 to $44,999","High school diploma or equivalent ",,"I nearly always vote for Democrats ",No,11,5,0,2,0,0,55556,ins,4,,5,,1192894,,2,,
2017-08-30 12:37:56,2017-08-30 13:37:14,IP Address,68.59.23.65,100,3558,True,2017-08-30 13:37:14,R_e5SlISnvYrL2mhv,,,,,42.375595092773,-83.108497619629,anonymous,,I consent to participate in this study,0,0,1325.611,0,,,,,True,$0,True,10,No,True,$0.50,True,10,No,,,,,,AROOCBM042SJD,27147,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Female,32,Black or African American,Not Hispanic or Latino,5,United States,MI Michigan,48206,Nothing,Nothing,1 (No Impact),No,"$15,000 to $29,999","Trade school degree or certificate ",,"I nearly always vote for Democrats ",No,11,5,0,2,0,0,60338,ins,4,,5,,1659945,,2,,
2017-08-30 12:57:57,2017-08-30 13:51:35,IP Address,67.2.71.80,100,3218,True,2017-08-30 13:51:35,R_24vDuU1YY3HsHD7,,,,,40.658294677734,-111.92310333252,anonymous,,I consent to participate in this study,,,,,3.132,3.132,1851.644,1,True,$0.50,True,10,No,,,,,,,,,,,A2OFN0A5CPLH57,,27496,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,34,White or Caucasian,Not Hispanic or Latino,5,United States,UT Utah,84655,Nothing,I've read or talked about drought at least once before,2,No,"Less than $15,000",Bachelors degree,,I nearly always vote for Republicans,No,7,0,0,2,0,0,71834,no_ins,5,,,,,2151732,2,,
2017-08-30 13:09:40,2017-08-30 14:03:44,IP Address,47.146.145.46,100,3244,True,2017-08-30 14:03:44,R_bKlzv7vqmgqBcLb,,,,,34.366104125977,-117.32049560547,anonymous,,I consent to participate in this study,1176.081,1176.081,1177.407,1,,,,,True,$0.50,True,10,No,,,,,,,,,,,A55CXM7QR7R0N,52026,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,45,White or Caucasian,Not Hispanic or Latino,5,United States,CA California,92345,Nothing,Nothing,1 (No Impact),No,"$60,000 to $74,999","High school diploma or equivalent ",,I vote for Republicans,No,7,0,0,2,0,0,80183,ins,5,,,,1256813,,2,,
2017-08-30 15:45:27,2017-08-30 16:11:57,IP Address,73.45.98.197,100,1590,True,2017-08-30 16:11:57,R_eXNcmSPsxXyBfLv,,,,,42.359497070312,-88.273399353027,anonymous,,I consent to participate in this study,,,,,60.629,225.203,617.271,3,True,$0,True,10,No,True,$0.50,True,10,No,,,,,,A2ZRF4I5RTKN7G,," 97401",10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,39,White or Caucasian,Not Hispanic or Latino,5,United States,IL Illinois,60050,Nothing,I've read or talked about drought at least once before,2,No,"$105,000 to $149,999",Bachelors degree,,"I nearly always vote for Democrats ",Yes,11,5,0,2,0,0,46937,no_ins,4,,5,,,2225710,2,,
2017-08-30 16:02:18,2017-08-30 16:33:48,IP Address,68.99.132.102,100,1890,True,2017-08-30 16:33:49,R_0leFRuocTcDdMHz,,,,,33.352798461914,-111.78900146484,anonymous,,I consent to participate in this study,,,,,46.422,46.422,860.746,1,True,$5.50,True,10,No,True,$0.50,True,10,No,,,,,,A1489QNXV5IM6O,," 22938",10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,34,White or Caucasian,Not Hispanic or Latino,5,United States,AZ Arizona,85296,Nothing,I've read or talked about drought at least once before,2,No,"$75,000 to $89,999","High school diploma or equivalent ",,"I vote for Republicans more often than I vote for Democrats ",No,11,5,0,2,0,0,53532,no_ins,4,,5,,,2855797,2,,
2017-08-30 15:47:35,2017-08-30 16:44:18,IP Address,69.180.109.24,100,3403,True,2017-08-30 16:44:18,R_eWqAGlidl1ACyqh,,,,,26.020599365234,-80.244400024414,anonymous,,I consent to participate in this study,0,0,1197.194,0,,,,,True,$0,True,10,No,True,$0.50,True,10,No,,,,,,A3JI3B5GTVA95F,25863,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,26,White or Caucasian,Not Hispanic or Latino,5,United States,FL Florida,33023,Nothing,I've read or talked about drought at least once before,2,No,"$60,000 to $74,999","High school diploma or equivalent ",,"I am eligible, but I never vote",No,11,5,0,2,0,0,99606,ins,4,,5,,1794024,,2,,
2017-08-30 16:38:00,2017-08-30 16:57:12,IP Address,65.33.75.234,100,1152,True,2017-08-30 16:57:12,R_0D4H9w1qTlFz5Vr,,,,,27.947494506836,-81.920402526855,anonymous,,I consent to participate in this study,10.818,25.888,564.68,2,,,,,True,$0.50,True,10,No,,,,,,,,,,,A1LOD3LNX7FUPJ,98466,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Male,34,White or Caucasian,Not Hispanic or Latino,5,United States,FL Florida,33810,Nothing,Nothing,4,No,"$15,000 to $29,999",Associate degree,,Half the time I vote for Democrats and half the time I vote for Republicans,Yes,7,0,0,2,0,0,32476,ins,5,,,,1189948,,2,,
2017-08-30 16:14:03,2017-08-30 17:07:19,IP Address,104.3.176.117,100,3196,True,2017-08-30 17:07:19,R_78a7vLTPZKTux6t,,,,,30.370300292969,-81.587196350098,anonymous,,I consent to participate in this study,,,,,0,0,1608.335,0,True,$0.50,True,10,No,,,,,,,,,,,A28HB7240OFGEW,," 25863",10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,25,White or Caucasian,Not Hispanic or Latino,5,United States,FL Florida,32277,Nothing,Nothing,2,No,"$30,000 to $44,999",Bachelors degree,,"I nearly always vote for Democrats ",No,7,0,0,2,0,0,70879,no_ins,5,,,,,2091835,2,,
2017-08-31 10:54:07,2017-08-31 11:26:27,IP Address,69.46.92.74,100,1940,True,2017-08-31 11:26:27,R_3JidGQfv7HLlWHr,,,,,37.33869934082,-121.89140319824,anonymous,,I consent to participate in this study,,,,,71.36,326.378,478.141,3,True,$0,False,10,No,True,$0.50,True,10,No,,,,,,A2Q1YS118AO2BP,,33793,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,29,White or Caucasian,Not Hispanic or Latino,5,United States,TX Texas,75228,Nothing,I've read or talked about drought at least once before,3,No,"$75,000 to $89,999",Bachelors degree,,I nearly always vote for Republicans,No,10,5,0,2,0,0,42650,no_ins,3,,5,,,2489529,2,,
2017-08-31 10:46:09,2017-08-31 11:42:12,IP Address,184.16.143.153,100,3363,True,2017-08-31 11:42:12,R_6LmSMlDNCrNZzpP,,,,,39.325103759766,-85.479202270508,anonymous,,I consent to participate in this study,,,,,355.105,364.314,1100.581,2,True,$0.50,True,10,No,,,,,,,,,,,A2R02DYCDLY75U,,21709,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,38,"Asian,White or Caucasian",Not Hispanic or Latino,5,United States,IN Indiana,46635,Nothing,I've read or talked about drought at least once before,1 (No Impact),No,"$90,000 to $104,999",Bachelors degree,,"I nearly always vote for Democrats ",Yes,7,0,0,2,0,0,99594,no_ins,5,,,,,2091790,2,,
2017-08-31 10:47:22,2017-08-31 11:46:30,IP Address,72.200.93.145,100,3548,True,2017-08-31 11:46:30,R_9YnNZWNIPmqGW1v,,,,,33.448806762695,-111.80139923096,anonymous,,I consent to participate in this study,0,0,1814.054,0,,,,,True,$0,True,10,No,True,$0.50,True,10,No,,,,,,A2I3Y0L38HMQLZ,70169,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,54,White or Caucasian,Not Hispanic or Latino,5,United States,OK Oklahoma,73160,I've read or talked about cattle ranching at least once before,I am familiar with drought,4,No,"$15,000 to $29,999","Graduate degree (Masters, PhD, MD, JD)",,Half the time I vote for Democrats and half the time I vote for Republicans,No,11,5,0,2,0,0,60845,ins,4,,5,,1051986,,2,,
2017-08-31 11:02:01,2017-08-31 11:46:45,IP Address,71.49.161.110,100,2684,True,2017-08-31 11:46:46,R_9XNvEMRGcvXMFnf,,,,,30.109405517578,-95.251899719238,anonymous,,I consent to participate in this study,1132.85,1132.85,1133.552,1,,,,,True,$0.50,True,10,No,,,,,,,,,,,AADRVG2QVZH75,80058,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,31,White or Caucasian,Not Hispanic or Latino,5,United States,TX Texas,75142,Nothing,I've read or talked about drought at least once before,2,No,"$30,000 to $44,999","High school diploma or equivalent ",,Half the time I vote for Democrats and half the time I vote for Republicans,Yes,7,0,0,2,0,0,62332,ins,5,,,,1519963,,2,,
2017-08-31 11:56:28,2017-08-31 12:08:03,IP Address,65.175.170.216,100,695,True,2017-08-31 12:08:03,R_7PxwtFcTlIlah8x,,,,,43.53889465332,-71.38639831543,anonymous,,I consent to participate in this study,,,,,11.59,105.057,118.513,4,True,$0.50,True,10,No,,,,,,,,,,,A2EI075XZT9Y2S,,86935,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,40,White or Caucasian,Not Hispanic or Latino,5,United States,NH New Hampshire,03263,Nothing,Nothing,2,No,"$30,000 to $44,999","High school diploma or equivalent ",,Half the time I vote for Democrats and half the time I vote for Republicans,No,7,0,0,2,0,0,46017,no_ins,5,,,,,2113452,2,,
2017-08-31 11:14:20,2017-08-31 12:09:59,IP Address,98.250.0.192,100,3339,True,2017-08-31 12:09:59,R_dpwHPELxkiTADTn,,,,,42.942504882812,-85.616096496582,anonymous,,I consent to participate in this study,241.888,241.888,1098.295,1,,,,,True,$0.50,True,10,No,,,,,,,,,,,APGX2WZ59OWDN,91310,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,23,White or Caucasian,Not Hispanic or Latino,5,United States,MI Michigan,48104,Nothing,I've read or talked about drought at least once before,2,No,"$45,000 to $59,999",Bachelors degree,,"I nearly always vote for Democrats ",Yes,7,0,0,2,0,0,41489,ins,5,,,,1772464,,2,,
2017-08-31 11:40:11,2017-08-31 12:37:41,IP Address,65.34.137.52,100,3450,True,2017-08-31 12:37:41,R_ac1zGDKtvzLJhEV,,,,,25.490295410156,-80.418701171875,anonymous,,I consent to participate in this study,,,,,0,0,1111.935,0,True,$0.50,True,10,No,,,,,,,,,,,AU849EHZNGV2Z,,28461,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,31,White or Caucasian,Not Hispanic or Latino,5,United States,FL Florida,33030,I've read or talked about cattle ranching at least once before,I am familiar with drought,3,No,"$15,000 to $29,999",Associate degree,,"I nearly always vote for Democrats ",Yes,7,0,0,2,0,0,83575,no_ins,5,,,,,2964018,2,,
2017-08-31 12:06:45,2017-08-31 12:47:52,IP Address,104.240.108.36,100,2467,True,2017-08-31 12:47:52,R_cHh8iswiPVQ2XIN,,,,,39.971801757812,-89.293098449707,anonymous,,I consent to participate in this study,,,,,1052.048,1052.048,1054.315,1,True,$0.50,True,10,No,,,,,,,,,,,A9HQ3E0F2AGVO,,95677,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Female,29,White or Caucasian,Not Hispanic or Latino,5,United States,IL Illinois,62526,Nothing,Nothing,1 (No Impact),No,"$30,000 to $44,999",Bachelors degree,,"I vote for Democrats more often than ",Yes,7,0,0,2,0,0,62818,no_ins,5,,,,,2368962,2,,
2017-08-31 13:08:27,2017-08-31 13:28:54,IP Address,32.212.204.238,100,1227,True,2017-08-31 13:28:54,R_1MGIeH9qoeZiVtH,,,,,41.907196044922,-72.472801208496,anonymous,,I consent to participate in this study,,,,,21.36,539.677,549.572,5,True,$0.50,True,5,Yes,True,$0.50,True,10,No,,,,,,A18LPAFMK1B06K,,40676,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Male,28,White or Caucasian,Not Hispanic or Latino,5,United States,CT Connecticut,06040,Nothing,Nothing,1 (No Impact),No,"$75,000 to $89,999",Bachelors degree,,"I am eligible, but I never vote",No,10,5,0,2,0,0,64315,no_ins,3,,5,,,2436827,2,,
2017-08-31 12:59:00,2017-08-31 13:30:45,IP Address,68.185.219.17,100,1905,True,2017-08-31 13:30:45,R_38ALMgZPXQa6nJz,,,,,32.6708984375,-97.415702819824,anonymous,,I consent to participate in this study,30.66,257.685,451.628,2,,,,,True,$0,True,10,No,True,$0.50,True,10,Yes,True,$0.50,True,10,No,A28FMRMS9TMEOZ,63361,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,24,White or Caucasian,Not Hispanic or Latino,5,United States,TX Texas,76114,Nothing,I've read or talked about drought at least once before,1 (No Impact),No,"$60,000 to $74,999","High school diploma or equivalent ",,Half the time I vote for Democrats and half the time I vote for Republicans,Yes,15,4,5,2,0,0,68639,ins,4,,4,5,1437639,,2,,
